time = 2020-11-17 09:03:00 cash in hand = 738.02, portfolio value = 1613.41, unrealized PNL = 111.99 realized PNL = -638.62, holding = 1.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -44.244573273188905 and [call,puts] values are = [32. 23.] and max call price = 31.75 compared to 31.75 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 280
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 1.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -43.79179605947365 and [call,puts] values are = [32. 23.] and max call price = 31.75 compared to 31.75 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 704
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -43.549549921979406 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 963
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.927105104133624 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1763
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.44182550624201 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 22.75 compared to 22.75and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 22.75 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 2569
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -43.30161814211667 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1256
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -43.10245377196806 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1515
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.83603744508761 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 1900
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.599718714634356 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 2285
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.3886768343247 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 2670
time = 2020-11-17 09:03:00 cash in hand = 2311.6, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -566.46, holding = 0.0 calls and 0.0 puts and ES = 3606.0 and bar_num = 16.0 and obv_slope = -42.19906714469769 and [call,puts] values are = [32. 23.] and max call price = 28.5 compared to 28.5 and max put price = 23.0 compared to 23.0and ATR = 1.1807867396762641 and ATR minimum = 0.5903933698381321 and stop_loss = 5.25 and self.put_option_price.bid = 23.0 and EMA_9 - EMA_26 DIFF = 2.5260305260153473 and RSI = 67.53406257672204 and slop[-1] =-24.81496025438261 and self.submitted = 0 and upper BBand = 3606.7787814108447 and lower BBand = 3605.992616313874 and df["roll_max_cp"] = 3607.75 and df["roll_min_cp"] = 3599.5 and df["roll_max_vol"].iloc[i-1] = 7457.0 and df["volume"].iloc[i-1] = 1915, and df["volume"] = 3055
