time = 2020-11-17 16:00:00 cash in hand = 2236.04, portfolio value = 0.0, unrealized PNL = 0.0 realized PNL = -263.62, holding = 0.0 calls and 0.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 5.965177653126778 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 18.75 compared to 18.75and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 18.75 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 311
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 0.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 11.483497077955798 and [call,puts] values are = [30.25 20.25] and max call price = 27.75 compared to 27.75 and max put price = 19.25 compared to 19.25and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.25 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 392
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 0.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 11.9921733371407 and [call,puts] values are = [30.25 20.25] and max call price = 27.75 compared to 27.75 and max put price = 19.25 compared to 19.25and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.25 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 401
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 11.9921733371407 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 401
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 11.9921733371407 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 401
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 11.9921733371407 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 401
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 11.9921733371407 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 401
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 13.665573540749621 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 433
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 13.665573540749621 and [call,puts] values are = [30.25 20.25] and max call price = 28.0 compared to 28.0 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 433
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 13.665573540749621 and [call,puts] values are = [30.25 20.25] and max call price = 28.25 compared to 28.25 and max put price = 19.25 compared to 19.0and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 19.0 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 433
time = 2020-11-17 16:00:00 cash in hand = 1134.62, portfolio value = 1036.43, unrealized PNL = -64.99 realized PNL = -263.62, holding = 0.0 calls and 1.0 puts and ES = 3604.5 and bar_num = -5.0 and obv_slope = 13.665573540749621 and [call,puts] values are = [30.25 20.25] and max call price = 28.25 compared to 28.25 and max put price = 19.25 compared to 18.75and ATR = 1.2199989793959314 and ATR minimum = 0.6099994896979657 and stop_loss = 5.0 and self.put_option_price.bid = 18.75 and EMA_9 - EMA_26 DIFF = -1.9437855302335265 and RSI = 19.40279797812389 and slop[-1] =-27.799494591156172 and self.submitted = 0 and upper BBand = 3604.6975935057812 and lower BBand = 3603.5795595170316 and df["roll_max_cp"] = 3611.0 and df["roll_min_cp"] = 3603.25 and df["roll_max_vol"].iloc[i-1] = 520.0 and df["volume"].iloc[i-1] = 179, and df["volume"] = 433
